mode,N,block,reps,real_time_s,cycles,instructions,L1_dcache_load_misses,LLC_load_misses
kji,1024,0,1,7.26955,19701795450,8269259933,3011513425,106216030
block,1024,2,1,3.60181,12131635212,35640749214,524204425,2433718
block,1024,2,1,3.68694,12429773873,35604887753,522832292,3234553
block,1024,2,1,3.75927,12654636678,35580929686,521634243,4401870
block,1024,4,1,1.6997,6634774783,15709174854,161964905,3389798
block,1024,4,1,2.02168,7413466560,15759158644,160962895,15930585
block,1024,4,1,1.95467,7406292763,15923387673,160569671,11847581
block,1024,16,1,0.716791,4023958674,6297972358,216226080,1582782
block,1024,16,1,0.70685,4049992278,6288486887,215645493,3385447
block,1024,16,1,0.690959,4082684222,6343506341,216194117,2607308
block,1024,64,1,0.405752,3239396673,3749336730,157247193,1322035
block,1024,64,1,0.517452,3284117753,3744856597,156909557,872055
block,1024,64,1,0.381507,3135695473,3759463578,156114508,899082
strassen,1024,0,1,0.43499,3011976994,3790835803,45138851,1447724
strassen,1024,0,1,0.330057,2980453915,3775776383,44506442,1103707
strassen,1024,0,1,0.349463,3103168778,3883174459,44675771,1109152
blas,1024,0,1,0.0305186,1298788528,1321503574,26945781,129758
blas,1024,0,1,0.0281182,1356899655,1401657605,27117907,133835
blas,1024,0,1,0.0303901,1677550830,1739576933,27405476,148926
