BlockID,long,lat
1.4.219-3,,
1.4.219-3,-71.5677011320811,-16.3244547291467
1.4.219-3,-71.5672981538116,-16.3244521273875
1.4.219-3,-71.5672908488182,-16.3237728070325
1.4.219-3,-71.5677061308084,-16.3237661870468
1.4.219-3,-71.5677011320811,-16.3244547291467
1.4.219-4,,
1.4.219-4,-71.5679938386564,-16.3248631480032
1.4.219-4,-71.5673036866902,-16.3248535196274
1.4.219-4,-71.567300796719,-16.3244883189274
1.4.219-4,-71.5679979014065,-16.3244962668535
1.4.219-4,-71.5679938386564,-16.3248631480032
1.4.219-5,,
1.4.219-5,-71.5684790444518,-16.3248748534842
1.4.219-5,-71.568082791737,-16.3248593224073
1.4.219-5,-71.5680705415328,-16.3237989492594
1.4.219-5,-71.568497309113,-16.323808672827
1.4.219-5,-71.5684790444518,-16.3248748534842
1.4.219-6,,
1.4.219-6,-71.5689744805356,-16.3248737488753
1.4.219-6,-71.5685525245739,-16.3248894454013
1.4.219-6,-71.5685454084663,-16.3237996972006
1.4.219-6,-71.5689707674069,-16.3238084644959
1.4.219-6,-71.5689744805356,-16.3248737488753
1.4.219-7,,
1.4.219-7,-71.5694449588364,-16.3248810878884
1.4.219-7,-71.5690341586786,-16.32488144205
1.4.219-7,-71.5690566042984,-16.3237788280409
1.4.219-7,-71.5694336478297,-16.3241589624947
1.4.219-7,-71.5694449588364,-16.3248810878884
1.4.219-8,,
1.4.219-8,-71.5677756115458,-16.3231631753284
1.4.219-8,-71.56778155861,-16.3229759910066
1.4.219-8,-71.5680002899765,-16.3230286352599
1.4.219-8,-71.5679978077527,-16.3231554597882
1.4.219-8,-71.5677756115458,-16.3231631753284
1.4.220-1,,
1.4.220-1,-71.5672161172306,-16.3248652074728
1.4.220-1,-71.5667681967473,-16.3248653726165
1.4.220-1,-71.5667796274349,-16.3237711317611
1.4.220-1,-71.5672159911839,-16.3237779658297
1.4.220-1,-71.5672161172306,-16.3248652074728
1.4.220-2,,
1.4.220-2,-71.5667051762232,-16.3248627255222
1.4.220-2,-71.5662651511347,-16.3248735912196
1.4.220-2,-71.5662808571957,-16.3237712020209
1.4.220-2,-71.5667238387137,-16.3237780382157
1.4.220-2,-71.5667051762232,-16.3248627255222
1.4.220-3,,
1.4.220-3,-71.5662112439409,-16.3248602899916
1.4.220-3,-71.5657746758825,-16.3248628045519
1.4.220-3,-71.5657877515399,-16.3237661068664
1.4.220-3,-71.5662273050283,-16.3237721002659
1.4.220-3,-71.5662112439409,-16.3248602899916
1.4.220-4,,
1.4.220-4,-71.5662235806856,-16.3235995069845
1.4.220-4,-71.5657888191224,-16.3235919363883
1.4.220-4,-71.5657935836641,-16.3226189995094
1.4.220-4,-71.5662167976608,-16.3226122395157
1.4.220-4,-71.5662235806856,-16.3235995069845
1.4.220-6,,
1.4.220-6,-71.5672214480273,-16.3235841960275
1.4.220-6,-71.5667965215498,-16.3235923233113
1.4.220-6,-71.5668042340691,-16.3226206947806
1.4.220-6,-71.567210328261,-16.3226234488607
1.4.220-6,-71.5672214480273,-16.3235841960275
1.4.220-7,,
1.4.220-7,-71.567219899397,-16.3225698761843
1.4.220-7,-71.5667942871097,-16.3225661223399
1.4.220-7,-71.5667885952691,-16.3216748368822
1.4.220-7,-71.5669180110298,-16.3216724687411
1.4.220-7,-71.5672297536992,-16.3219736928361
1.4.220-7,-71.567219899397,-16.3225698761843
1.4.220-8,,
1.4.220-8,-71.5667137848481,-16.3222236383877
1.4.220-8,-71.5662846291983,-16.3222058111558
1.4.220-8,-71.5662943206188,-16.3216896242223
1.4.220-8,-71.5667229310141,-16.3216913125756
1.4.220-8,-71.5667137848481,-16.3222236383877
1.4.220-9,,
1.4.220-9,-71.5662313930498,-16.3225686193874
1.4.220-9,-71.5657983618353,-16.3225640827254
1.4.220-9,-71.5658082637038,-16.3216799520223
1.4.220-9,-71.5662348358303,-16.3216681723857
1.4.220-9,-71.5662313930498,-16.3225686193874
1.4.221-1,,
1.4.221-1,-71.5656807154231,-16.3271912120188
1.4.221-1,-71.5653221915109,-16.3271895916225
1.4.221-1,-71.5653291277855,-16.3261165783994
1.4.221-1,-71.5656719381848,-16.3261159170421
1.4.221-1,-71.5656807154231,-16.3271912120188
1.4.221-10,,
1.4.221-10,-71.5656817513891,-16.3249019453987
1.4.221-10,-71.565682577953,-16.3259662187696
1.4.221-10,-71.5653374279474,-16.3259554493231
1.4.221-10,-71.5653407733341,-16.3248970678841
1.4.221-10,-71.5656817513891,-16.3249019453987
1.4.221-11,,
1.4.221-11,-71.5656825641779,-16.3248520035577
1.4.221-11,-71.5651512795183,-16.3248498592383
1.4.221-11,-71.5651753118398,-16.3237971122487
1.4.221-11,-71.5656799830448,-16.3238079811193
1.4.221-11,-71.5656825641779,-16.3248520035577
1.4.221-12,,
1.4.221-12,-71.5650681054005,-16.324842289364
1.4.221-12,-71.5645346547593,-16.3248413137959
1.4.221-12,-71.5645519761806,-16.323765391241
1.4.221-12,-71.565066724407,-16.3237748468271
1.4.221-12,-71.5650681054005,-16.324842289364
